feature,importance
duration,0.4529347186919456
job_edu,0.36572004208040876
poutcome_success,0.06359153980356555
balance,0.062303494479423856
previous,0.032467911359880045
contact_cellular,0.02298229358477618
was_contacted_before,0.0
